id,origin,destination,airline,fare,travel_date,search_date,booking_window,created_at
64,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.603464
65,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.607523
66,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.607523
67,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.619351
68,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.622821
69,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.630216
70,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.635896
71,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.639958
72,DEL,BOM,Air India Express,6779,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.639958
73,DEL,BOM,Air India,6792,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.651845
74,DEL,BOM,IndiGo,6793,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.657036
75,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.657036
76,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.657036
77,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.666681
78,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.673313
79,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.679437
80,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.688141
81,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.690133
82,DEL,BOM,Air India Express,7261,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.690133
83,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.690133
84,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.70722
85,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.71064
86,DEL,BOM,Air India,7553,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.71064
87,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.723348
88,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.723348
89,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.730337
90,DEL,BOM,Akasa Air,7716,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.730337
91,DEL,BOM,Air India,7879,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.738737
92,DEL,BOM,Air India,8052,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.747028
93,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.756194
94,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.763109
95,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.763109
96,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.771179
97,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.779305
98,DEL,BOM,Akasa Air,8419,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.779305
99,DEL,BOM,IndiGo,8473,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.797088
100,DEL,BOM,Akasa Air,8720,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.797088
101,DEL,BOM,IndiGo,8998,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.797088
102,DEL,BOM,Akasa Air,9360,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.810908
103,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.810908
104,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.826601
105,DEL,BOM,Air India,9905,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.830305
